Usuario;URL;Seguidores;Publicaciones;Categoria;Nicho;Origen
nicolerizzuto_;https://instagram.com/nicolerizzuto_;47000;1771;-;model;FOLLOWING
bright.eyesss;https://instagram.com/bright.eyesss;245000;355;-;-;FOLLOWING
mmente;https://instagram.com/mmente;34000;548;-;ceo;FOLLOWING
megbatphoto;https://instagram.com/megbatphoto;173000;1213;-;photographer;FOLLOWING
mivnori;https://instagram.com/mivnori;74000;415;-;-;FOLLOWING
xsamantha.nealex;https://instagram.com/xsamantha.nealex;17000;1211;-;-;FOLLOWING
julietschroder;https://instagram.com/julietschroder;6833;286;-;-;FOLLOWING
ania_ddd;https://instagram.com/ania_ddd;136000;1045;-;-;FOLLOWING
julietkake;https://instagram.com/julietkake;47000;152;-;-;FOLLOWING
insidesuccesstv;https://instagram.com/insidesuccesstv;9740;154;-;-;FOLLOWING
weareuni;https://instagram.com/weareuni;48000;595;-;-;FOLLOWING
chasitysaunders;https://instagram.com/chasitysaunders;29000;1566;-;model;FOLLOWING
amanda.nicolaa;https://instagram.com/amanda.nicolaa;29000;127;-;-;FOLLOWING
cara_gordon;https://instagram.com/cara_gordon;24000;160;-;-;FOLLOWING
majevskaja;https://instagram.com/majevskaja;58000;703;-;-;FOLLOWING
glamsquad;https://instagram.com/glamsquad;131000;3475;-;-;FOLLOWING
castpartner;https://instagram.com/castpartner;43000;822;-;-;FOLLOWING
alexstonephoto;https://instagram.com/alexstonephoto;19000;1251;-;photographer;FOLLOWING
tiannasclark;https://instagram.com/tiannasclark;58000;114;-;-;FOLLOWING
marieb.photography;https://instagram.com/marieb.photography;194000;2956;-;photographer;FOLLOWING
